id,city,district,neighborhood,condition,type,rooms,area_m2,lift,views,floor,prices
909,Barcelona,Les Corts,la Maternitat i Sant Ramon,good condition,Flat,4,86,Yes,exterior, floor 8,420000
910,Barcelona,Eixample,la Sagrada Família,good condition,Flat,3,115,Yes,exterior, floor 1,995000
911,Barcelona,Sants-Montjuïc,Hostafrancs,good condition,Flat,3,75,Yes,interior, floor 2,215000
912,Barcelona,Nou Barris,Porta,good condition,Flat,3,68,Yes,exterior, floor 6,200000
913,Barcelona,Les Corts,les Corts,good condition,Flat,4,95,Yes,exterior, floor 7,570000
914,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Flat,3,118,Yes,exterior, floor 4,610000
915,Barcelona,Les Corts,les Corts,good condition,Flat,4,131,Yes,exterior, floor 2,449000
916,Barcelona,Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,3,140,Yes,exterior, floor 7,675000
917,Barcelona,Sant Andreu,Navas,good condition,Flat,2,74,No,exterior,mezzanine,200000
918,Barcelona,Les Corts,les Corts,good condition,Flat,4,100,Yes,exterior, floor 7,560000
919,Barcelona,Gràcia,la Vila de Gràcia,good condition,Flat,3,107,Yes,exterior, floor 2,500000
920,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,2,101,Yes,exterior, floor 8,800000
921,Barcelona,Sant Andreu,Sant Andreu,good condition,Flat,3,75,Yes,exterior, floor 5,199000
922,Barcelona,Sant Andreu,Sant Andreu,good condition,Flat,4,119,Yes,exterior, floor 1,279900
923,Barcelona,Gràcia,la Vila de Gràcia,good condition,Terraced,4,200,No,exterior,Multiple,770000
924,Barcelona,Eixample,Sant Antoni,good condition,Flat,4,97,Yes,exterior, floor 1,375000
925,Barcelona,Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,good condition,Flat,3,145,No,exterior, floor 3,450000
926,Barcelona,Eixample,Sant Antoni,good condition,Flat,2,86,Yes,exterior, floor 1,420000
927,Barcelona,Ciutat Vella,la Barceloneta,good condition,Flat,3,89,Yes,exterior, floor 2,450000
928,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,3,120,Yes,interior, floor 1,660000
929,Barcelona,Ciutat Vella,el Raval,good condition,Flat,1,29,No,exterior, floor 1,119000
930,Barcelona,Ciutat Vella,el Raval,good condition,Flat,3,67,Yes,exterior, floor 5,230000
931,Barcelona,Sarrià-Sant Gervasi,Sarrià,good condition,Flat,3,85,Yes,exterior, floor 1,445000
932,Barcelona,Horta-Guinardó,la Font d'en Fargues,good condition,Flat,2,58,Yes,exterior, floor 1,284000
933,Barcelona,Sants-Montjuïc,el Poble Sec - AEI Parc de Montjuïc,good condition,Flat,3,69,Yes,exterior,ground floor,310000
934,Barcelona,Sant Andreu,el Congrés i els Indians,good condition,Flat,3,69,No,exterior, floor 1,259000
935,Barcelona,Sants-Montjuïc,la Font de la Guatlla,good condition,Flat,3,62,Yes,exterior, floor 5,215000
936,Barcelona,Sant Martí,Provençals del Poblenou,good condition,Flat,3,56,No,exterior, floor 2,199000
937,Barcelona,Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,1,53,Yes,exterior, floor 5,260000
938,Barcelona,Gràcia,el Camp d'en Grassot i Gràcia Nova,good condition,Semi-detached,3,220,No,exterior,Multiple,950000
